RespondentID,Home_ZIP,Work_ZIP
2431779795,22314,20230
2430351072,,
2429942934,22202,22202
2429585146,20036,20024
2429176110,20002,20005
2429168355,20001,22102
2429117103,20005,20006
2428725413,21208,21244
2428695254,20783,20708
2428664926,20912,20912
2428571977,20827,20420
2428529507,22041,20006
2428424368,20011,20001
2428118200,740,733
2428098133,22310,20250
2428081924,21113,20701
2427957443,20009,
2427830855,22202,
2427787322,20876,20892
2427784518,20112,
2427705904,22079,22150
2427705138,20852,20852
2427697714,20009,20001
2427697000,20001,20001
2427671905,20001,20433
2427640780,20036,20036
2427618688,500,500
2427611706,20817,20895
2427544231,20003,20850
2427515748,,
2427509993,,
2427508248,20002,20002
2427464245,20036,27701
2427462536,20910,20059
2427453700,20008,20009
2427447771,,
2427445251,,
2427441260,20147,
2427440303,,
2427440120,,
2425573005,20855,20892
2425304453,20010,20036
2423593348,20109,20005
2423090145,20009,20009
2422994764,20886,20879
2422298263,,
2422116432,20011,
2421850635,22201,20006
2421702665,20878,20857
2421003865,20003,20857
2420739732,22207,21202
2420148753,20007,20005
2419940663,22202,
2419922499,,
2419824411,20855,20899
2419788114,,
2419726695,21077,21090
2419646992,20854,20007
2419565304,20007,20057
2419532454,20871,20850
2419530827,,
2419494734,20852,20008
2419450166,20850,20850
2419317565,20002,20024
2418859733,22203,20746
2418706049,,20006
2418578873,22207,22030
2418322227,,
2418258633,20009,20036
2418150239,20850,20852
2417750944,21701,20007
2417660651,,
2417481559,20877,20877
2417397668,20120,22102
2417365295,20008,20003
2417308362,20008,20001
2417304746,20815,22170
2417267903,20010,20010
2417246075,,
2417161255,20008,20002
2417131399,22203,22101
2417087773,20036,20036
2417049272,,
2416966501,22206,22201
2416899455,20009,20001
2416896766,20190,20191
2416854356,20001,20002
2416852591,22201,19103
2416830344,20165,20191
2416813559,20817,20057
2416797111,20005,20005
2416753069,20001,20036
2416705953,,
2416681844,22042,22042
2416657362,22554,20001
2416655134,,
2416644476,20141,20191
2416635390,22209,20001
2416632090,20136,20166
2416621555,20910,20910
2416581848,20003,20003
2416555616,,
2416548520,22201,20001
2416539094,,
2416534519,20017,20036
2416507317,22030,22030
2416485623,,
2416480941,20009,20036
2416478230,22314,22209
2416465035,20037,20037
2416457858,20016,20016
2416455514,21061,20715
2416438936,20818,20250
2416426006,20878,22102
2416423283,22310,20746
2416423141,22305,22203
2416422888,20037,
2416413816,20002,20250
2416411694,,
2416408643,20010,20001
2416392354,22201,20001
2416377413,,
2416370911,22043,
2416366381,90210,90210
2416366234,20817,20892
2416348048,,
2416341909,20904,20254
2416331367,22314,22314
2416321624,22301,22305
2416318898,20912,20912
2416192394,20003,20005
2416159607,20191,20194
2416145976,20904,20740
2416108785,22314,22324
2416104754,23229,23233
2416102152,20037,20037
2416076645,4108,4108
2416076226,22209,20071
2416073905,,
2416072475,20817,20852
2416070772,22209,20171
2416066212,20011,21202
2416066210,22202,22201
2416063960,22207,20190
2416060503,20037,20069
2416057152,22209,22209
2416056881,,
2416053581,22209,22209
2416051015,20723,20895
2416050883,20009,20005
2416050534,22203,22203
2416049190,20910,
2416048935,,
2416048853,20009,20551
2416048513,22206,
2416048298,22201,22203
2416046655,,
2416046442,20036,20036
2416046378,22207,
2416046228,,
2416045951,20005,22102
2416044853,,
2416044517,99999,99999
2416044501,94043,94103
2416043742,21075,
2416043556,500,500
2416043517,,
2416042082,22043,22305
2416041382,20008,60523
2416039162,20910,20002
2416039024,20001,20006
2416039006,22033,20005
2416038467,22204,22204
2416038206,20003,22202
2416038129,20906,20052
2416037022,,
2416036397,22209,20007
2416036154,20009,20005
2416036119,20878,20878
2415827263,10025,20743
